course_name,url,Duration,rating
 Bases de Datos NoSQL en Azure,https://www.coursera.org/projects/bases-datos-nosql-azure,,No rating
 Crea contenido de e-learning con Canva para tus estudiantes,https://www.coursera.org/projects/crea-contenido-e-learning-canva-estudiantes,,No rating
 Création D'Identité Visuelle En Utilisant Canva,https://www.coursera.org/projects/creation-identite-visuelle-impressionnant-utilisant-canva,,No rating
  Creating a Quiz Game using Vanilla JavaScript,https://www.coursera.org/projects/creating-a-quiz-game-using-vanilla-javascript,,4.9
 Créer des Publicités sur Instagram,https://www.coursera.org/projects/creer-des-publicites-sur-instagram,,No rating
 Créer du contenu e-learning pour vos étudiants avec Canva,https://www.coursera.org/projects/creer-contenu-e-learning-etudiants-canva,,No rating
 Descubre diferentes formatos de anuncios en Facebook,https://www.coursera.org/projects/descubre-diferentes-formatos-anuncios-facebook,,No rating
  تحسين أداء العمل باستخدام نماذج غوغل,https://www.coursera.org/projects/improve-business-performance-with-google-forms-ar,,4.6
 Introducción a Facebook Audience Insights,https://www.coursera.org/projects/introduccin-facebook-audience-insights,,No rating
 Microsoft Excel  حسابات البيانات في ,https://www.coursera.org/projects/data-calculations--microsoft-excel,,No rating
 Plane und erstelle einen Aufgabenkalender in Trello,https://www.coursera.org/projects/plane-und-erstelle-einen-aufgabenkalender-in-trello,,No rating
 Optimiza las comunicaciones organizacionales con Slack,https://www.coursera.org/projects/optimiza-las-comunicaciones-organizacionales-con-slack,,No rating
 Programmez du contenu pour vos réseaux sociaux avec Later,https://www.coursera.org/projects/programmez-contenu-reseaux-sociaux-later,,No rating
(c++)  تعلم أساسيات لغة سي بلس بلس من خلال التطبيق العملي,https://www.coursera.org/projects/taealam-asasiaat-lughat-c-plus-plus,,4.2
 كيفية إنشاء حساب إعلان وتحريره على موقع بينترست,https://www.coursera.org/projects/kayfiat-iinsha-hisab-iielan-watahririh-ealaa-mawqie-pinterest,,No rating
3D Models with Adobe Photoshop: Design a Pickleball Paddle,https://www.coursera.org/projects/3d-models-with-adobe-photoshop-design-a-pickleball-paddle,,No rating
A Start Guide: Product Marketing Using G Suite,https://www.coursera.org/projects/product-marketing-using-gsuite,,4.4
API Testing a real web application via Postman,https://www.coursera.org/projects/api-testing-a-real-application-via-postman,,4.4
API Testing with Karate Framework,https://www.coursera.org/projects/api-testing-with-karate-framework,,4.4
AWS S3 Basics,https://www.coursera.org/projects/aws-s3-basics,,4.5
Abrechnung und Zahlung auf Pinterest,https://www.coursera.org/projects/abrechnung-und-zahlung-auf-pinterest,,No rating
Accroître l’engagement de votre profil d’entreprise sur IG,https://www.coursera.org/projects/accroitre-l-engagement-de-votre-profil-d-entreprise-sur-instagram,,No rating
Adobe Dreamweaver for Beginners: User Centric Web Design,https://www.coursera.org/projects/adobe-dreamweaver-for-beginners-user-centric-web-design,,No rating
Adobe Illustrator for Beginners: Creative Brand System,https://www.coursera.org/projects/adobe-illustrator-for-beginners-creative-brand-system,,No rating
Advanced Programme Planning Phases Framework in ClickUp,https://www.coursera.org/projects/program-advanced-planning,,5.0
Advanced iOS Development,https://www.coursera.org/learn/advanced-ios-development,,No rating
Alcanza tu audiencia en Instagram con influenciadores,https://www.coursera.org/projects/alcanza-audiencia-instagram-influenciadores,,No rating
Amazon Redshift: Introducción al Almacenamiento de Datos,https://www.coursera.org/projects/amazon-redshift-introduccin-al-almacenamiento-de-datos-frsx2,,No rating
